Sqrt(A) (m),Rn,t (cm),Dmax (mm)
17,0.35,4,66.72
18,0.35,4,78.269
2,0.36,4,0.149
3,0.36,4,0.485
4,0.36,4,1.115
5,0.36,4,2.108
6,0.36,4,3.527
7,0.36,4,5.432
8,0.36,4,7.885
9,0.36,4,10.948
10,0.36,4,14.682
11,0.36,4,19.146
12,0.36,4,24.399
13,0.36,4,30.5
14,0.36,4,37.504
15,0.36,4,45.467
16,0.36,4,54.444
17,0.36,4,64.488
18,0.36,4,75.653
2,0.37,4,0.144
3,0.37,4,0.47
4,0.37,4,1.081
5,0.37,4,2.042
6,0.37,4,3.413
7,0.37,4,5.256
8,0.37,4,7.628
9,0.37,4,10.591
10,0.37,4,14.202
11,0.37,4,18.52
12,0.37,4,23.603
13,0.37,4,29.506
14,0.37,4,36.282
15,0.37,4,43.988
16,0.37,4,52.674
17,0.37,4,62.392
18,0.37,4,73.196
2,0.38,4,0.14
3,0.38,4,0.457
4,0.38,4,1.048
5,0.38,4,1.979
6,0.38,4,3.307
7,0.38,4,5.09
8,0.38,4,7.387
9,0.38,4,10.255
10,0.38,4,13.751
11,0.38,4,17.933
12,0.38,4,22.854
13,0.38,4,28.571
14,0.38,4,35.134
15,0.38,4,42.597
16,0.38,4,51.009
17,0.38,4,60.422
18,0.38,4,70.886
2,0.39,4,0.136
3,0.39,4,0.444
4,0.39,4,1.017
5,0.39,4,1.919
6,0.39,4,3.206
7,0.39,4,4.934
8,0.39,4,7.159
9,0.39,4,9.938
10,0.39,4,13.327
11,0.39,4,17.379
12,0.39,4,22.15
13,0.39,4,27.691
14,0.39,4,34.053
15,0.39,4,41.287
16,0.39,4,49.442
17,0.39,4,58.567
18,0.39,4,68.711
2,0.4,4,0.133
3,0.4,4,0.431
4,0.4,4,0.988
5,0.4,4,1.863
6,0.4,4,3.111
7,0.4,4,4.786
8,0.4,4,6.944
9,0.4,4,9.64
10,0.4,4,12.926
11,0.4,4,16.858
12,0.4,4,21.485
13,0.4,4,26.861
14,0.4,4,33.033
15,0.4,4,40.051
16,0.4,4,47.964
17,0.4,4,56.817
18,0.4,4,66.66
2,0.1,4.5,0.512
3,0.1,4.5,1.717
4,0.1,4.5,4.012
5,0.1,4.5,7.745
6,0.1,4.5,13.274
7,0.1,4.5,20.95
8,0.1,4.5,31.105
9,0.1,4.5,44.048
